reads_per_trefi,sync_cycles_threshold,row_base_offset,virt_addr,subch,rank,bg,bank,row,col,expected_hex,actual_hex
90,25000,2,0x44079E5A,0,0,2,2,515,3226,0xAA,0xAB
90,25000,2,0x44079E6E,0,0,2,2,515,3246,0x68,0x60
90,25000,2,0x40064797,0,0,3,2,3,599,0x00,0x40
90,25000,2,0x400647AB,0,0,3,2,3,619,0xAA,0xAE
90,25000,4,0x440A65DE,0,0,0,2,517,862,0x68,0x6A
90,25000,4,0x440A65FE,0,0,0,2,517,894,0x68,0x6A
90,25000,10,0x4016764C,0,0,0,2,11,908,0x0A,0x2A
90,25000,10,0x40167670,0,0,0,2,11,944,0xD3,0xD1
90,25000,14,0x4C1FBDA0,0,0,3,2,1551,3552,0xD3,0xDB
90,25000,14,0x4C1FBDB8,0,0,3,2,1551,3576,0xD3,0xDB
90,25000,15,0x4820EC81,0,0,1,2,1040,1857,0xAF,0x8F
90,25000,15,0x4820EC85,0,0,1,2,1040,1861,0x00,0x10
90,25000,15,0x4820EC95,0,0,1,2,1040,1877,0x00,0x01
90,25000,16,0x4822EBC2,0,0,2,2,1041,1858,0xAA,0xCA
90,25000,18,0x4C261BC9,0,0,2,2,1555,201,0xAF,0x8F
90,25000,18,0x4C261BCD,0,0,2,2,1555,205,0x00,0x04
90,25000,19,0x40291F97,0,0,2,2,20,2263,0x00,0x40
90,25000,19,0x40291FBF,0,0,2,2,20,2303,0x00,0x02
90,25000,21,0x442C3F01,0,0,2,2,534,385,0xAF,0xA7
90,25000,21,0x442C3F21,0,0,2,2,534,417,0xAF,0xAD
90,25000,25,0x48343489,0,0,3,2,1050,457,0xAF,0x8F
90,25000,25,0x483434AD,0,0,3,2,1050,493,0x00,0x02
90,25000,25,0x483434B9,0,0,3,2,1050,505,0xAF,0xAE
90,25000,27,0x40393D45,0,0,2,2,28,2437,0x00,0x04
90,25000,27,0x40393D51,0,0,2,2,28,2449,0xAF,0xAB
90,25000,28,0x443AC3C8,0,0,0,2,541,1608,0xD3,0x93
90,25000,28,0x443AC3F8,0,0,0,2,541,1656,0xD3,0xD1
90,25000,33,0x4C4580BF,0,0,1,2,1570,3199,0x00,0x90
90,25000,34,0x4C46E5E5,0,0,0,2,1571,1893,0x00,0x02
90,25000,34,0x4C46E5F5,0,0,0,2,1571,1909,0x00,0x10
90,25000,34,0x4C46D448,0,0,1,2,1571,1672,0xD3,0xD1
90,25000,34,0x4C46D46C,0,0,1,2,1571,1708,0x0A,0x8B
90,25000,34,0x4C47E46C,0,0,1,2,1571,3884,0x0A,0x1A
90,25000,34,0x4C47E478,0,0,1,2,1571,3896,0xD3,0xC3
90,25000,35,0x4C485832,0,0,0,2,1572,690,0xAA,0xBA
90,25000,35,0x4C48583E,0,0,0,2,1572,702,0x68,0x28
90,25000,35,0x4C493903,0,0,1,2,1572,2435,0xAA,0xA2
90,25000,35,0x4C493917,0,0,1,2,1572,2455,0x00,0x01
90,25000,35,0x4C493923,0,0,1,2,1572,2467,0xAA,0xA8
90,25000,35,0x4C49392F,0,0,1,2,1572,2479,0x00,0x40
90,25000,35,0x4C486A87,0,0,2,2,1572,839,0x00,0x80
90,25000,35,0x4C486AAB,0,0,2,2,1572,875,0xAA,0xA2
90,25000,35,0x4C486AAF,0,0,2,2,1572,879,0x00,0x40
90,25000,35,0x4C49BA17,0,0,2,2,1572,3479,0x00,0x40
90,25000,35,0x4C49BA2B,0,0,2,2,1572,3499,0xAA,0xA8
90,25000,37,0x404C58CF,0,0,1,2,38,719,0x00,0x20
90,25000,37,0x404C58FF,0,0,1,2,38,767,0x00,0x20
90,25000,39,0x48501057,0,0,3,2,1064,151,0x00,0x20
90,25000,39,0x48501077,0,0,3,2,1064,183,0x00,0x04
90,25000,40,0x405205D8,0,0,3,2,41,88,0xD3,0xDB
90,25000,40,0x405205F0,0,0,3,2,41,112,0xD3,0xD1
90,25000,40,0x4853849D,0,0,3,2,1065,3165,0x00,0x10
90,25000,40,0x485384A1,0,0,3,2,1065,3169,0xAF,0xA7
90,25000,40,0x485384B5,0,0,3,2,1065,3189,0x00,0x04
90,25000,46,0x485E1C92,0,0,2,2,1071,210,0xAA,0xBA
90,25000,46,0x485E1C9A,0,0,2,2,1071,218,0xAA,0x8B
90,25000,49,0x40651D57,0,0,1,2,50,2199,0x00,0x40
90,25000,49,0x40651D5B,0,0,1,2,50,2203,0xAA,0xA8
90,25000,49,0x40657DDF,0,0,1,2,50,3039,0x00,0x80
90,25000,49,0x40657DF7,0,0,1,2,50,3063,0x00,0x01
90,25000,49,0x40657DFB,0,0,1,2,50,3067,0xAA,0xA8
90,25000,49,0x40649ED3,0,0,2,2,50,1235,0xAA,0xBA
90,25000,49,0x40649ED7,0,0,2,2,50,1239,0x00,0x21
90,25000,56,0x4472DBE9,0,0,1,2,569,1769,0xAF,0x2F
90,25000,56,0x4472DBF9,0,0,1,2,569,1785,0xAF,0x2F
90,25000,56,0x4473F844,0,0,2,2,569,3972,0x0A,0x0B
90,25000,56,0x4473F860,0,0,2,2,569,4000,0xD3,0xC3
90,25000,56,0x4473F86C,0,0,2,2,569,4012,0x0A,0x2A
90,25000,61,0x407C4F48,0,0,0,2,62,520,0xD3,0xD1
90,25000,61,0x407C4F58,0,0,0,2,62,536,0xD3,0xDB
90,25000,61,0x407C4F6C,0,0,0,2,62,556,0x0A,0x1A
90,25000,61,0x447C560D,0,0,1,2,574,653,0x00,0x20
90,25000,61,0x447C5621,0,0,1,2,574,673,0xAF,0xAE
90,25000,61,0x447C5635,0,0,1,2,574,693,0x00,0x10
90,25000,62,0x407E7B88,0,0,0,2,63,968,0xD3,0x53
90,25000,62,0x407E7BA8,0,0,0,2,63,1000,0xD3,0x93
90,25000,62,0x407E7BB8,0,0,0,2,63,1016,0xD3,0xDB
90,25000,62,0x407F2B99,0,0,0,2,63,2393,0xAF,0x2F
90,25000,62,0x407F2BB1,0,0,0,2,63,2417,0xAF,0xAB
90,25000,62,0x407F2A18,0,0,1,2,63,2328,0xD3,0x53
90,25000,62,0x407F2A2C,0,0,1,2,63,2348,0x0A,0x42
90,25000,62,0x407E08B4,0,0,3,2,63,116,0x0A,0x4A
90,25000,62,0x407E08B8,0,0,3,2,63,120,0xD3,0x93
90,25000,62,0x407E6804,0,0,3,2,63,772,0x0A,0x2A
90,25000,62,0x407E6808,0,0,3,2,63,776,0xD3,0x53
90,25000,69,0x4C8D19CB,0,0,0,2,1606,2251,0xAA,0xAE
90,25000,69,0x4C8D19F3,0,0,0,2,1606,2291,0xAA,0xA2
90,25000,69,0x4C8D19FB,0,0,0,2,1606,2299,0xAA,0xBA
90,25000,74,0x4496CFCD,0,0,0,2,587,1613,0x00,0x10
90,25000,74,0x4496CFF1,0,0,0,2,587,1649,0xAF,0xA7
90,25000,74,0x4496CFF5,0,0,0,2,587,1653,0x00,0x04
90,25000,74,0x4497AF49,0,0,0,2,587,3337,0xAF,0xAE
90,25000,74,0x4497AF61,0,0,0,2,587,3361,0xAF,0xBF
90,25000,74,0x4497AF79,0,0,0,2,587,3385,0xAF,0x8F
90,25000,74,0x44962EC4,0,0,1,2,587,324,0x0A,0x0B
90,25000,74,0x44962EF0,0,0,1,2,587,368,0xD3,0xC3
90,25000,74,0x44962EFC,0,0,1,2,587,380,0x0A,0x2A
90,25000,74,0x4496CE50,0,0,1,2,587,1552,0xD3,0x53
90,25000,74,0x4496CE68,0,0,1,2,587,1576,0xD3,0xD2
90,25000,74,0x4496CE70,0,0,1,2,587,1584,0xD3,0xD1
90,25000,74,0x44965C48,0,0,3,2,587,648,0xD3,0xC3
90,25000,74,0x44965C5C,0,0,3,2,587,668,0x0A,0x1A
90,25000,75,0x40983A47,0,0,0,2,76,391,0x00,0x08
90,25000,75,0x40983A7F,0,0,0,2,76,447,0x00,0x02
90,25000,83,0x4CA9F5C7,0,0,0,2,1620,4039,0x00,0x02
90,25000,83,0x4CA9F5FF,0,0,0,2,1620,4095,0x00,0x10
90,25000,83,0x4CA86447,0,0,1,2,1620,775,0x00,0x20
90,25000,83,0x4CA8647F,0,0,1,2,1620,831,0x00,0x20
90,25000,83,0x4CA846DA,0,0,3,2,1620,602,0xAA,0xEA
90,25000,83,0x4CA846FA,0,0,3,2,1620,634,0xAA,0xEA
90,25000,83,0x4CA9164F,0,0,3,2,1620,2191,0x00,0x01
90,25000,83,0x4CA9166B,0,0,3,2,1620,2219,0xAA,0x2A
90,25000,83,0x4CA91677,0,0,3,2,1620,2231,0x00,0x02
90,25000,85,0x40ACD62D,0,0,2,2,86,1709,0x00,0x01
90,25000,85,0x40ACD635,0,0,2,2,86,1717,0x00,0x40
90,25000,85,0x40ACD639,0,0,2,2,86,1721,0xAF,0x2F
90,25000,88,0x40B2CB04,0,0,0,2,89,1540,0x0A,0x2E
90,25000,89,0x48B5C45B,0,0,2,2,1114,3611,0xAA,0xA8
90,25000,89,0x48B5C463,0,0,2,2,1114,3619,0xAA,0xAB
90,25000,89,0x48B5C473,0,0,2,2,1114,3635,0xAA,0x2A
90,25000,91,0x40B8ADAE,0,0,3,2,92,1390,0x68,0x6C
